Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
27.7,335397477,207,1620277.7,261387.0,4257,5493045,2094727.5,CUDA_API,cudaMemcpy2D
16.6,200404496,69,2904413.0,2905901.0,2344235,3933747,287162.6,CUDA_KERNEL,background_removal_kernel(ImageView<rgb8>)
13.2,159734125,2,79867062.5,79867062.5,69270985,90463140,14985116.5,CUDA_API,cuCtxCreate_v2
12.6,152649836,4,38162459.0,7510010.5,3580,137626235,66685605.4,CUDA_API,cudaMemcpyToSymbol
7.8,94739731,2,47369865.5,47369865.5,46691962,48047769,958700.3,CUDA_API,cuCtxDestroy_v2
6.7,81194656,4,20298664.0,30487.5,28156,81105525,40537907.3,CUDA_API,cudaMallocPitch
4.6,55609680,2070,26864.6,24448.0,22592,38369,4468.9,CUDA_KERNEL,hysteresis_propagate_kernel(ImageView<int>)
2.3,27733965,138,200970.8,252173.5,87609,757873,110351.1,CUDA_API,cuMemcpy2DAsync_v2
2.1,25845128,207,124855.7,57249.0,24704,435170,118856.9,MEMORY_OPER,[CUDA memcpy Device-to-Host]
1.4,16548073,73,226685.9,224929.0,320,333793,61707.6,MEMORY_OPER,[CUDA memcpy Host-to-Device]
1.2,15011463,1,15011463.0,15011463.0,15011463,15011463,0.0,CUDA_KERNEL,"init_rand_states(int, int, curandStateXORWOW *)"
0.8,9765327,69,141526.5,141537.0,140993,142048,239.8,CUDA_KERNEL,"dilatation_kernel(ImageView<int>, ImageView<int>, int)"
0.8,9764524,69,141514.8,141568.0,140865,141953,249.0,CUDA_KERNEL,"erosion_kernel(ImageView<int>, ImageView<int>, int)"
0.5,5650067,2761,2046.4,1752.0,1505,29279,1060.6,CUDA_API,cudaLaunchKernel
0.2,2381963,69,34521.2,34529.0,33441,35872,558.6,CUDA_KERNEL,"compute_difference_kernel(ImageView<rgb8>, ImageView<rgb8>, ImageView<int>)"
0.2,2351735,61,38553.0,27842.0,23208,216911,38360.3,CUDA_API,cuMemFree_v2
0.2,2066215,69,29945.1,29952.0,29120,30816,370.9,CUDA_KERNEL,"hysteresis_threshold_kernel(ImageView<int>, int, int)"
0.1,1672931,69,24245.4,24064.0,23264,25536,623.9,CUDA_KERNEL,"maskage_kernel(ImageView<rgb8>, ImageView<int>)"
0.1,1659593,69,24052.1,23712.0,22688,26017,897.5,CUDA_KERNEL,binarize_kernel(ImageView<int>)
0.1,1624838,69,23548.4,23520.0,22592,24416,418.8,CUDA_KERNEL,"count_pixels_kernel(ImageView<int>, int *)"
0.1,1622474,69,23514.1,23488.0,22688,24896,396.1,CUDA_KERNEL,hysteresis_cleanup_kernel(ImageView<int>)
0.1,1198824,69,17374.3,17248.0,17024,19936,483.6,MEMORY_OPER,[CUDA memcpy Device-to-Device]
0.1,682112,83,8218.2,4327.0,1441,34723,7329.1,CUDA_API,cuLaunchKernel
0.1,623041,69,9029.6,9088.0,8416,10176,327.0,CUDA_KERNEL,ConvertNV12BLtoNV12
0.0,567713,65,8734.0,8650.0,989,21261,3583.5,CUDA_API,cuMemsetD8Async
0.0,501954,135,3718.2,352.0,320,402978,34622.1,MEMORY_OPER,[CUDA memset]
0.0,376172,137,2745.8,2689.0,424,75755,6494.6,CUDA_API,cuStreamSynchronize
0.0,328566,70,4693.8,3236.5,2109,9753,2479.7,CUDA_API,cudaMemset
0.0,292519,1,292519.0,292519.0,292519,292519,0.0,CUDA_API,cuModuleLoadData
0.0,287144,71,4044.3,2699.0,1261,17467,2742.8,CUDA_API,cuEventRecord
0.0,266127,7,38018.1,32164.0,25406,80716,18996.7,CUDA_API,cuArrayDestroy
0.0,255080,59,4323.4,2748.0,2409,36921,5925.9,CUDA_API,cuStreamCreate
0.0,244256,69,3539.9,4224.0,1536,4384,1157.2,CUDA_KERNEL,"draw_border_kernel(ImageView<rgb8>, int *, int)"
0.0,204293,3,68097.7,59918.0,49482,94893,23784.9,CUDA_API,cudaMalloc
0.0,202559,59,3433.2,2308.0,2011,20152,3952.6,CUDA_API,cuStreamDestroy_v2
0.0,197195,1,197195.0,197195.0,197195,197195,0.0,CUDA_API,cuModuleUnload
0.0,139915,64,2186.2,1437.5,327,13560,2643.4,CUDA_API,cuEventSynchronize
0.0,123449,2,61724.5,61724.5,59290,64159,3442.9,CUDA_API,cuMemAllocPitch_v2
0.0,53178,419,126.9,108.0,67,873,69.6,CUDA_API,cuGetProcAddress_v2
0.0,52097,21,2480.8,1099.0,747,8900,2386.6,CUDA_API,cuSurfObjectCreate
0.0,51923,61,851.2,601.0,352,4687,851.7,CUDA_API,cuInit
0.0,36545,14,2610.4,2704.0,1984,3457,523.9,CUDA_KERNEL,MemsetD2D_BL
0.0,17989,21,856.6,510.0,238,8335,1722.5,CUDA_API,cuSurfObjectDestroy
0.0,8636,2,4318.0,4318.0,2288,6348,2870.9,CUDA_API,cuCtxSynchronize
0.0,5741,16,358.8,140.0,131,1789,510.9,CUDA_API,cuEventCreate
0.0,3222,16,201.4,151.5,110,863,185.1,CUDA_API,cuEventDestroy_v2
0.0,1429,14,102.1,90.5,53,398,87.3,CUDA_API,cuArrayGetPlane
0.0,117,1,117.0,117.0,117,117,0.0,CUDA_API,cuModuleGetLoadingMode
