Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
26.6,286419651,69,4151009.4,4130980.0,3297001,4527270,213676.6,CUDA_API,cudaMemcpy
18.5,199561617,69,2892197.3,2897392.0,2297260,3367186,266741.0,CUDA_KERNEL,background_removal_kernel(ImageView<rgb8>)
15.0,161226697,2,80613348.5,80613348.5,69511650,91715047,15700172.6,CUDA_API,cuCtxCreate_v2
8.5,91147790,2,45573895.0,45573895.0,44588615,46559175,1393396.3,CUDA_API,cuCtxDestroy_v2
7.4,79339196,4,19834799.0,30766.0,29386,79248278,39608986.0,CUDA_API,cudaMallocPitch
5.2,55739348,2070,26927.2,24512.0,22784,38208,4511.0,CUDA_KERNEL,hysteresis_propagate_kernel(ImageView<int>)
4.6,49746909,207,240323.2,260962.0,4737,764399,177247.7,CUDA_API,cudaMemcpy2D
2.6,27642051,138,200304.7,254226.5,89037,655131,103580.9,CUDA_API,cuMemcpy2DAsync_v2
2.5,26501129,276,96018.6,43392.0,1056,625763,120328.7,MEMORY_OPER,[CUDA memcpy Device-to-Host]
1.9,20886604,4,5221651.0,2915444.5,5670,15050045,7102970.0,CUDA_API,cudaMemcpyToSymbol
1.5,16553693,73,226762.9,224770.0,320,361826,63618.1,MEMORY_OPER,[CUDA memcpy Host-to-Device]
1.4,15046323,1,15046323.0,15046323.0,15046323,15046323,0.0,CUDA_KERNEL,"init_rand_states(int, int, curandStateXORWOW *)"
0.9,9801872,69,142056.1,142177.0,141120,142977,397.5,CUDA_KERNEL,"dilatation_kernel(ImageView<int>, ImageView<int>, int)"
0.9,9799478,69,142021.4,142144.0,141216,142529,357.0,CUDA_KERNEL,"erosion_kernel(ImageView<int>, ImageView<int>, int)"
0.5,5874870,2742,2142.5,1770.0,1509,29899,1368.0,CUDA_API,cudaLaunchKernel
0.2,2483479,61,40712.8,28771.0,24278,220398,42977.9,CUDA_API,cuMemFree_v2
0.2,2352847,69,34099.2,34112.0,33248,35136,442.0,CUDA_KERNEL,"compute_difference_kernel(ImageView<rgb8>, ImageView<rgb8>, ImageView<int>)"
0.2,2066769,69,29953.2,29953.0,29216,30944,292.5,CUDA_KERNEL,"hysteresis_threshold_kernel(ImageView<int>, int, int)"
0.2,1672392,69,24237.6,24000.0,23104,25888,749.4,CUDA_KERNEL,"maskage_kernel(ImageView<rgb8>, ImageView<int>)"
0.2,1669257,69,24192.1,23840.0,23104,26336,929.8,CUDA_KERNEL,binarize_kernel(ImageView<int>)
0.2,1631054,69,23638.5,23680.0,22816,24449,418.3,CUDA_KERNEL,"count_pixels_kernel(ImageView<int>, int *)"
0.2,1627046,69,23580.4,23520.0,22561,25089,422.9,CUDA_KERNEL,hysteresis_cleanup_kernel(ImageView<int>)
0.1,1194312,69,17308.9,17280.0,16992,19840,332.3,MEMORY_OPER,[CUDA memcpy Device-to-Device]
0.1,843814,137,6159.2,2661.0,537,393810,34576.3,CUDA_API,cuStreamSynchronize
0.1,716930,83,8637.7,4602.0,1407,37666,7556.5,CUDA_API,cuLaunchKernel
0.1,626308,69,9076.9,9120.0,8000,10016,351.6,CUDA_KERNEL,ConvertNV12BLtoNV12
0.1,577466,65,8884.1,8761.0,982,18975,3411.4,CUDA_API,cuMemsetD8Async
0.0,509442,135,3773.6,352.0,320,409634,35194.3,MEMORY_OPER,[CUDA memset]
0.0,352804,70,5040.1,4027.5,2388,12297,2443.1,CUDA_API,cudaMemset
0.0,321268,71,4524.9,3831.0,1195,20985,3050.7,CUDA_API,cuEventRecord
0.0,276569,1,276569.0,276569.0,276569,276569,0.0,CUDA_API,cuModuleLoadData
0.0,275317,7,39331.0,32308.0,23861,84087,21891.3,CUDA_API,cuArrayDestroy
0.0,257025,59,4356.4,2867.0,2460,23352,4804.3,CUDA_API,cuStreamCreate
0.0,227272,1,227272.0,227272.0,227272,227272,0.0,CUDA_API,cuModuleUnload
0.0,209862,59,3557.0,2344.0,2098,20770,4250.4,CUDA_API,cuStreamDestroy_v2
0.0,197568,50,3951.4,3936.0,3808,4032,33.7,CUDA_KERNEL,draw_border_kernel(ImageView<rgb8>)
0.0,190091,3,63363.7,63346.0,53342,73403,10030.5,CUDA_API,cudaMalloc
0.0,138912,64,2170.5,1348.5,359,11306,2431.3,CUDA_API,cuEventSynchronize
0.0,124467,2,62233.5,62233.5,59272,65195,4188.2,CUDA_API,cuMemAllocPitch_v2
0.0,55216,419,131.8,108.0,66,1898,110.3,CUDA_API,cuGetProcAddress_v2
0.0,53598,61,878.7,646.0,398,4631,856.2,CUDA_API,cuInit
0.0,49626,21,2363.1,1150.0,758,7723,2185.9,CUDA_API,cuSurfObjectCreate
0.0,36672,14,2619.4,2736.0,2016,3520,530.1,CUDA_KERNEL,MemsetD2D_BL
0.0,17981,21,856.2,523.0,195,8215,1693.3,CUDA_API,cuSurfObjectDestroy
0.0,9620,2,4810.0,4810.0,2569,7051,3169.3,CUDA_API,cuCtxSynchronize
0.0,5290,16,330.6,134.0,126,1466,444.9,CUDA_API,cuEventCreate
0.0,3557,16,222.3,163.5,112,1326,295.7,CUDA_API,cuEventDestroy_v2
0.0,1309,14,93.5,66.0,52,393,87.4,CUDA_API,cuArrayGetPlane
0.0,162,1,162.0,162.0,162,162,0.0,CUDA_API,cuModuleGetLoadingMode
